time (seconds),steps,light,temp
60.608,101,158,9
120.604,206,158,9
180.604,321,158,9
240.604,441,158,9
300.605,560,160,9
360.607,685,158,9
420.605,800,161,9
480.605,919,158,9
540.676,1040,160,9
600.68,1156,158,9
660.68,1277,158,9
720.68,1402,158,9
780.682,1518,161,10
840.682,1637,158,9
900.683,1762,158,9
960.684,1877,158,9
1020.683,1987,158,9
1080.684,2106,157,9
1140.684,2227,158,9
1200.685,2350,158,9
1260.685,2470,158,9
1320.685,2591,159,10
1380.686,2710,156,9
1440.687,2826,158,9
1500.688,2947,158,9
1560.689,3070,156,9
1620.689,3189,158,9
1680.69,3309,158,9
1740.692,3438,158,9
1800.692,3559,158,11
1860.693,3678,156,9
1920.694,3797,158,9
1980.695,3922,158,9
2040.696,4045,158,9
2100.697,4164,158,9
2160.698,4282,158,9
2220.701,4402,158,9
2280.702,4527,157,9
2340.704,4653,158,8
2400.706,4773,158,9
2460.707,4892,158,9
2520.709,5010,158,9
2580.712,5136,159,9
2640.714,5259,158,9
2700.715,5378,158,9
2760.716,5494,158,9
2820.718,5612,158,8
2880.72,5738,161,9
2940.721,5857,158,9
3000.721,5987,158,9
3060.723,6115,158,9
3120.725,6241,161,9
3180.726,6362,158,9
3240.726,6485,158,9
3300.727,6611,161,9
3360.728,6735,158,9
3420.729,6855,158,8
3480.729,6976,158,9
3540.729,7101,159,9
3600.73,7224,158,9
3660.73,7344,163,9
3720.731,7464,158,9
3780.731,7592,158,9
3840.731,7711,158,9
3900.732,7826,158,8
3960.732,7942,159,9
4020.73,8060,158,9
4080.733,8176,158,9
4140.74,8294,158,9